Thème,Oeuvre,Compositeur,Média,Catégorie,Année,Difficulté,Pays,Réponse,Lien,Code Spotify,Lien Playlist,marche pas
The James Bond Theme,James Bond 007 contre Dr No,"Monty Norman, John Barry",Film,Action,1962,Facile,UK,"James Bond, 007",https://open.spotify.com/intl-fr/track/589AelScFm0FYQ4VG1biJi,spotify:track:589AelScFm0FYQ4VG1biJi,,FALSE
My Name is Robert Neville,Je suis une Légende,James Newton Howard,Film,"Science-Fiction, Drame, Thriller",2007,Difficile,USA,I Am Legend,https://open.spotify.com/intl-fr/track/2JY6Af30DaD5gW8BPLZSha,spotify:track:2JY6Af30DaD5gW8BPLZSha,,FALSE
Child's Play Theme,Jeu d'enfant,Joe Renzetti,Film,Horreur,2019,Difficile,USA,Child's Play,https://open.spotify.com/intl-fr/track/4xBkyFiFQeL3vELyAnH1P2,spotify:track:4xBkyFiFQeL3vELyAnH1P2,,FALSE
John Wick Mode,John Wick,"Tyler Bates, Joel J. Richard, Le Castle Vania",Film,"Action, Thriller",2014,Moyen,USA,,https://open.spotify.com/intl-fr/track/2zwcnaxahJOnYwG0H6tXTz,spotify:track:2zwcnaxahJOnYwG0H6tXTz,,FALSE
A Man For All Seasons,Johnny English,Howard Goodall,Film,Comédie,2018,Difficile,UK,,https://open.spotify.com/intl-fr/track/4nbwybtK0GJHakLDNta3my,spotify:track:4nbwybtK0GJHakLDNta3my,,FALSE
Bathroom Dance,Joker,Hildur Guðnadóttir,Film,Thriller,2019,Moyen,USA,,https://open.spotify.com/intl-fr/track/4WiqPbWvLbv317E8fB4SJC,spotify:track:4WiqPbWvLbv317E8fB4SJC,,FALSE
Jumanji Main Theme,Jumanji,James Horner,Film,Action,1995,Moyen,USA,,https://open.spotify.com/intl-fr/track/4t1d83pu62PxQWrqULLlFA,spotify:track:4t1d83pu62PxQWrqULLlFA,,FALSE
Into the Jungle,Jumanji Welcome to the Jungle,Henry Jackman,Film,"Comédie, Action",2017,Difficile,USA,,https://open.spotify.com/intl-fr/track/6vyyUaXpZ5EVizwsPZQKIq,spotify:track:6vyyUaXpZ5EVizwsPZQKIq,,FALSE
Theme from Jurassic Park,Jurassic Park,John Williams,Film,Science-Fiction,1993,Facile,USA,,https://open.spotify.com/intl-fr/track/2TZbQZXOuR8osP2AK8yYMN,spotify:track:2TZbQZXOuR8osP2AK8yYMN,,FALSE
The Justice League Theme,Justice League,Danny Elfman,Film,"Super-héro, Action",2017,Difficile,USA,,https://open.spotify.com/intl-fr/track/360tlInWTYu7kOBWAi9YWJ,spotify:track:360tlInWTYu7kOBWAi9YWJ,,FALSE
From Master to Student to Master,Karate Kid,James Horner,Film,"Action, Drame",2010,Moyen,USA,,https://open.spotify.com/intl-fr/track/278ym66gl1xfVGjoRzv6LE,spotify:track:278ym66gl1xfVGjoRzv6LE,,FALSE
We Are Young,Kick-Ass,John Murphy,Film,"Super-héro, Action",2010,Difficile,USA,,https://open.spotify.com/intl-fr/track/1VMfnucJPC8cc5jmUi7DmV,spotify:track:1VMfnucJPC8cc5jmUi7DmV,,FALSE
Twisted Nerve,Kill Bill,Tomoyasu Hotei,Film,"Action, Thriller, Drame",2003,Moyen,USA,,https://open.spotify.com/intl-fr/track/3Y9wdXMh6sNt9fUwUqTqb7,spotify:track:3Y9wdXMh6sNt9fUwUqTqb7,,FALSE
Osage Oil Boom,Killer of the Flower Moon,Robbie Robertson,Film,Drame,2023,Difficile,USA,,https://open.spotify.com/intl-fr/track/5CT03vQttU9NE2jEwT3rEY,spotify:track:5CT03vQttU9NE2jEwT3rEY,,FALSE
Manners Maketh Man,Kingsman,Henry Jackman,Film,"Action, Comédie",2014,Difficile,UK,,https://open.spotify.com/intl-fr/track/3QMozI3U5p1BDf7LGB6dan,spotify:track:3QMozI3U5p1BDf7LGB6dan,,FALSE
Motherland,Kraven The Hunter,"Benjamin Wallfisch, Evgueni Galperine, Sacha Galperine",Film,"Marvel, Super-héro, Action",2024,Difficile,USA,Kraven,https://open.spotify.com/intl-fr/track/2AbrtlpVbA77CcZj3U6vRQ,spotify:track:2AbrtlpVbA77CcZj3U6vRQ,,FALSE
Oogway Ascends,Kung Fu Panda,"Hans Zimmer, John Powell",Film,"Comédie, Animation, Action",2008,Moyen,USA,,https://open.spotify.com/intl-fr/track/1dZCiUTIbbvwOCALmzBh9y,spotify:track:1dZCiUTIbbvwOCALmzBh9y,,FALSE
Opening Travel Music,L'Âge de Glace,David Newman,Film,"Action, Comédie",2002,Moyen,USA,Ice Age,https://open.spotify.com/intl-fr/track/3ZAFRtKXv5AZFLcs4Nox7x,spotify:track:3ZAFRtKXv5AZFLcs4Nox7x,,FALSE
Tubular Bells,L'exorciste,"Mike Oldfield, Krzysztof Penderecki",Film,"Horreur, Thriller",1973,Facile,USA,,https://open.spotify.com/intl-fr/track/0eTGEFTkCYweDUSxL4lsUc,spotify:track:0eTGEFTkCYweDUSxL4lsUc,,FALSE
The Never Ending Story,L'Histoire Sans Fin,"Klaus Doldinger, Giorgio Moroder",Film,Fantasy,1984,Facile,Europe,,https://open.spotify.com/intl-fr/track/2IAQnOWKWjj1iA166KznVd,spotify:track:2IAQnOWKWjj1iA166KznVd,,FALSE
Main Title,L'Incroyable Hulk,Craig Armstrong,Film,"Super-héro, Action, Marvel",2008,Moyen,USA,,https://open.spotify.com/intl-fr/track/6cUKdJOB8sSjZLHcuwFHKJ,spotify:track:6cUKdJOB8sSjZLHcuwFHKJ,,FALSE
