Thème,Oeuvre,Compositeur,Média,Catégorie,Année,Difficulté,Pays,Réponse,Lien,Code Spotify,Lien Playlist,marche pas
L'Amour Brille Sous Les Étoiles,Le Roi Lion,Hans Zimmer,Film,"Animation, Disney",1994,Facile,USA,,https://open.spotify.com/intl-fr/track/7C2rwjui84NV7fRGeyTfKE,spotify:track:7C2rwjui84NV7fRGeyTfKE,,FALSE
The Shire,Le Seigneur des Anneux,Howard Shore,Film,Fantasy,2001,Facile,USA,Lord of the Rings,https://open.spotify.com/intl-fr/track/6zW80jVqLtgSF1yCtGHiiD,spotify:track:6zW80jVqLtgSF1yCtGHiiD,,FALSE
Main Title,Le Silence des Agneaux,Howard Shore,Film,"Horreur, Thriller",1991,Difficile,USA,,https://open.spotify.com/intl-fr/track/5fGk9UjkHggNZDwT0Yowl6,spotify:track:5fGk9UjkHggNZDwT0Yowl6,,FALSE
Lonely Boy,Le Sixième Sens,James Newton Howard,Film,"Science-Fiction, Action",1999,Facile,USA,,https://open.spotify.com/intl-fr/track/0kpN8g0aaQHpXll0lTYLVX,spotify:track:0kpN8g0aaQHpXll0lTYLVX,,FALSE
One Summer's Day,Le Voyage de Chihiro,Joe Hisaishi,Film,Animation,2001,Moyen,Asie,,https://open.spotify.com/intl-fr/track/3gFQOMoUwlR6aUZj81gCzu,spotify:track:3gFQOMoUwlR6aUZj81gCzu,,FALSE
Noon,Léon,Éric Serra,Film,"Thriller, Action, Drame",1994,Difficile,France,,https://open.spotify.com/intl-fr/track/1Hl93VMgQsGLQUrDnjOtUw,spotify:track:1Hl93VMgQsGLQUrDnjOtUw,,FALSE
Main Titles,Les 4 Fantastiques,John Ottman,Film,"Super-héro, Action, Marvel",2005,Difficile,USA,,https://open.spotify.com/intl-fr/track/73dAOXmCOjNrzSQRCTksBC,spotify:track:73dAOXmCOjNrzSQRCTksBC,,FALSE
Main Titles,Les Animaux Fantastiques,James Newton-Howard,Film,Fantasy,2016,Moyen,USA,Fantastic Beast,https://open.spotify.com/intl-fr/track/4Pk1KXtkFTJNKLqwHhD3Zn,spotify:track:4Pk1KXtkFTJNKLqwHhD3Zn,,FALSE
Tout le monde veut devenir un cat,Les Aristochats,"Floyd Huddleston, Al Rinker",Film,"Animation, Disney",1970,Facile,USA,,https://open.spotify.com/intl-fr/track/1KxQ0sXDBggSOKn7xdJqec,spotify:track:1KxQ0sXDBggSOKn7xdJqec,,FALSE
The Adventures of Tintin,Les Aventures de Tintin,John Williams,Film,"Animation, Action",2011,Moyen,USA,The Adventures of Tintin,https://open.spotify.com/intl-fr/track/5v6860kFijzTGxMvkXQgXX,spotify:track:5v6860kFijzTGxMvkXQgXX,,FALSE
Vois sur ton chemin,Les Choristes,Bruno Coulais,Film,"Drame, Musical",2004,Facile,France,,https://open.spotify.com/intl-fr/track/0HfK6NPVb69533dKqTPokh,spotify:track:0HfK6NPVb69533dKqTPokh,,FALSE
Writing the Chronicles,Les Chroniques de Spiderwick,James Horner,Film,Fantasy,2008,Difficile,USA,Spiderwick Chronicles,https://open.spotify.com/intl-fr/track/1EsaO6Sq1JPFEd6D7NVgPJ,spotify:track:1EsaO6Sq1JPFEd6D7NVgPJ,,TRUE
Main Title,Les Dents de la Mer,John Williams,Film,"Horreur, Thriller",1975,Facile,USA,Jaws,https://open.spotify.com/intl-fr/track/0C5o6yIrcFab0YS3GUYwp9,spotify:track:0C5o6yIrcFab0YS3GUYwp9,,FALSE
Shawnshank Redemption,Les Évadés,Thomas Newman,Film,Drame,1994,Difficile,USA,Shawshank Redemption,https://open.spotify.com/intl-fr/track/2ZpEtblzDgwUCuUUs6Ig1D,spotify:track:2ZpEtblzDgwUCuUUs6Ig1D,,FALSE
Hooked on a Feeling,Les Gardiens de la Galaxie,Tyler Bates,Film,"Action, Marvel, Super-héro",2014,Facile,USA,,https://open.spotify.com/intl-fr/track/2ITtbGn8Tta9Q9uGhGsFVr,spotify:track:2ITtbGn8Tta9Q9uGhGsFVr,,FALSE
The Chain,Les Gardiens de la Galaxie vol 2,Tyler Bates,Film,"Action, Marvel, Super-héro",2017,Facile,USA,,https://open.spotify.com/intl-fr/track/7M7WcQeV4b5lerEKK1s7ta,spotify:track:7M7WcQeV4b5lerEKK1s7ta,,FALSE
Creep,Les Gardiens de la Galaxie vol 3,John Murphy,Film,"Action, Marvel, Super-héro",2023,Facile,USA,,https://open.spotify.com/intl-fr/track/2Cj6G3bCaxCql8fvDc0OsX,spotify:track:2Cj6G3bCaxCql8fvDc0OsX,,FALSE
The Goondocks,Les Goonies,Dave Grusin,Film,Comédie,1985,Difficile,USA,,https://open.spotify.com/intl-fr/track/27CQK1VBodTWqt1MWmWHuo,spotify:track:27CQK1VBodTWqt1MWmWHuo,,FALSE
The Gremlins Rag,Les Gremlins,Jerry Goldsmith,Film,"Comédie, Horreur",1984,Moyen,USA,,https://open.spotify.com/intl-fr/track/5VorYbsKtiuG2XqindyF23,spotify:track:5VorYbsKtiuG2XqindyF23,,FALSE
The Untouchables Theme,Les Incorruptibles,Ennio Morricone	,Film,"Drame, Histoire",1987,Difficile,USA,,https://open.spotify.com/intl-fr/track/0gopZrk6QHTq2XmVKvhdxA,spotify:track:0gopZrk6QHTq2XmVKvhdxA,,FALSE
The Glory Days,Les Indestructibles,Michael Giacchino,Film,"Animation, Disney, Action",2004,Facile,USA,The Incredibles,https://open.spotify.com/intl-fr/track/59Djq0zGIu8HDZ8QXs2oiz,spotify:track:59Djq0zGIu8HDZ8QXs2oiz,,FALSE
I Swear,Les Minions,Heitor Pereira,Film,"Comédie, Animation",2015,Difficile,USA,,https://open.spotify.com/intl-fr/track/4t9cpYT8AD3G2TGwSRQVDK,spotify:track:4t9cpYT8AD3G2TGwSRQVDK,,FALSE
I Dreamed a Dream,Les Misérables,Claude-Michel Schönberg,Film,"Histoire, Musical, Drame",2012,Moyen,UK,,https://open.spotify.com/intl-fr/track/2rPbBONzBW14kNvVF9Qy7E,spotify:track:2rPbBONzBW14kNvVF9Qy7E,,FALSE
Tamouré,Les Tontons Flingueurs,Michel Magne,Film,Comédie,1963,Difficile,France,,https://open.spotify.com/intl-fr/track/6GgbwRwzN6b3XIwPQJ8xXK,spotify:track:6GgbwRwzN6b3XIwPQJ8xXK,,FALSE
Générique,Les Tuche,Martin Rappeneau,Film,Comédie,2011,Difficile,France,,https://open.spotify.com/intl-fr/track/40C3wVjCvhg0ohzZbc5lAI,spotify:track:40C3wVjCvhg0ohzZbc5lAI,,FALSE
Enae Volare,Les Visiteurs,"Éric Lévi, Felix Mendelssohn",Film,"Comédie, Histoire, Fantasy",1993,Facile,France,,https://open.spotify.com/intl-fr/track/0QrW0u8JdJaCVr4TPZsyfz,spotify:track:0QrW0u8JdJaCVr4TPZsyfz,,FALSE
Hawaiian Roller Coaster Ride,Lilo & Stitch,Alan Silvestri,Film,"Comédie, Disney, Animation",2002,Moyen,USA,Lilo et Stitch,https://open.spotify.com/intl-fr/track/6pO5svQbrKKLZS08tIiEUA,spotify:track:6pO5svQbrKKLZS08tIiEUA,,FALSE
Theme from Schindler's list,Liste de Schindler,John Williams,Film,"Drame, Histoire",1993,Moyen,USA,Schindler's List,https://open.spotify.com/intl-fr/track/42gZM6AQ9BDMaTyTmMDVlN,spotify:track:42gZM6AQ9BDMaTyTmMDVlN,,FALSE
Plumfield,Little Women,Alexandre Desplat,Film,Drame,2019,Difficile,USA,,https://open.spotify.com/intl-fr/track/2RcMeNWqc5AUKCrlzMVYcf,spotify:track:2RcMeNWqc5AUKCrlzMVYcf,,FALSE
Main Titles,Logan,Marco Beltrami,Film,"Super-héro, Action, Marvel",2017,Moyen,USA,,https://open.spotify.com/intl-fr/track/5HGtsQcIq2wnFQ85cyPowh,spotify:track:5HGtsQcIq2wnFQ85cyPowh,,FALSE
Lola,LOL,Jean Philippe Verdin,Film,"Drame, Comédie",2021,Difficile,USA,,https://open.spotify.com/intl-fr/track/0IzZIqvZGpjG5v1A0Eb6bd,spotify:track:0IzZIqvZGpjG5v1A0Eb6bd,,FALSE
Rip Her to Shreds,Lolita malgré moi,Rolfe Kent,Film,Comédie,2004,Difficile,USA,Mean Girls,https://open.spotify.com/intl-fr/track/2K9vpqu9c7a1NI2XZ836WP,spotify:track:2K9vpqu9c7a1NI2XZ836WP,,FALSE
Hell on Earth,Longlegs,Zilgi,Film,"Horreur, Thriller",2024,Difficile,USA,,https://open.spotify.com/intl-fr/track/5XZ4cSppggpYmZjAlHt1r2,spotify:track:5XZ4cSppggpYmZjAlHt1r2,,FALSE
A Day in the Life,Looper,Nathan Johnson,Film,"Science-Fiction, Thriller",2012,Difficile,USA,,https://open.spotify.com/intl-fr/track/12ILhGI4gKiDhIUMjk8GWC,spotify:track:12ILhGI4gKiDhIUMjk8GWC,,FALSE
PM's Love Theme,Love Actually,Craig Armstrong,Film,"Comédie, Romance",2003,Difficile,UK,,https://open.spotify.com/intl-fr/track/7aQxVnkYKtklS2G0b2JkIn,spotify:track:7aQxVnkYKtklS2G0b2JkIn,,FALSE
Loving Pablo,Loving Pablo,Federico Jusid,Film,"Drame, Histoire",2017,Difficile,Espagne,,https://open.spotify.com/intl-fr/track/2d4LDM4t4c48fW4BR6xXok,spotify:track:2d4LDM4t4c48fW4BR6xXok,,FALSE
Meet Luca,Luca,Dan Romer,Film,"Animation, Disney",2021,Difficile,USA,,https://open.spotify.com/intl-fr/track/0Dpbz2JbQcECzhED9Mh5v1,spotify:track:0Dpbz2JbQcECzhED9Mh5v1,,FALSE
Flicking Through Time,Lucy,Éric Serra,Film,"Science-Fiction, Action, Thriller",2014,Difficile,France,,https://open.spotify.com/intl-fr/track/6ACddtk549HmkBQRuCp3Gg,spotify:track:6ACddtk549HmkBQRuCp3Gg,,FALSE
Brothers In Arms,Mad Max: Fury Road,Junkie XL,Film,"Science-Fiction, Action",2015,Difficile,USA,,https://open.spotify.com/intl-fr/track/0rljrAA4HuyJxO5Y4ksY4S,spotify:track:0rljrAA4HuyJxO5Y4ksY4S,,FALSE
I Like to Move It,Madagascar,Hans Zimmer,Film,"Comédie, Animation",2005,Facile,USA,,https://open.spotify.com/intl-fr/track/4bAFo6r2ODMDoqM5YHV2gM,spotify:track:4bAFo6r2ODMDoqM5YHV2gM,,FALSE
Mrs. Doubtfire,Madame Doubtfire,Howard Shore,Film,"Comédie, Drame",1993,Difficile,USA,,https://open.spotify.com/intl-fr/track/2wwxkWYkQzFyRC2JLwSBEM,spotify:track:2wwxkWYkQzFyRC2JLwSBEM,,FALSE
Madame Web,Madame Web,Johan Söderqvist,Film,"Marvel, Super-héro, Action",2024,Difficile,USA,,https://open.spotify.com/intl-fr/track/2N0ETGqBYh4lhDGis8hjQp,spotify:track:2N0ETGqBYh4lhDGis8hjQp,,TRUE
Once Upon A Dream,Maléfique,James Newton Howard,Film,"Disney, Drame",2014,Difficile,USA,Maleficent,https://open.spotify.com/intl-fr/track/3liiZRlJxa8GeLUgWMoIeu,spotify:track:3liiZRlJxa8GeLUgWMoIeu,,FALSE
Somewhere in My Memory,"Maman, j'ai raté l'avion",John Williams,Film,Comédie,1990,Moyen,USA,Home Alone,https://open.spotify.com/intl-fr/track/1FlxqJmoZWS2q1uRlyZVur,spotify:track:1FlxqJmoZWS2q1uRlyZVur,,FALSE
Mamma Mia,Mamma Mia,"Benny Andersson, Björn Ulvaeus",Film,"Comédie, Musical, Romance",2008,Facile,USA,,https://open.spotify.com/intl-fr/track/2TxCwUlqaOH3TIyJqGgR91,spotify:track:2TxCwUlqaOH3TIyJqGgR91,,FALSE
Flight,Man of Steel,Hans Zimmer,Film,"Action, Science-Fiction, Super-héro",2013,Difficile,USA,,https://open.spotify.com/intl-fr/track/1mUG7ftwIxuq5fhMPkyM02,spotify:track:1mUG7ftwIxuq5fhMPkyM02,,FALSE
Jean de Florette,Manon des Sources,Jean-Claude Petit,Film,Drame,1986,Difficile,France,,https://open.spotify.com/intl-fr/track/5loRWuSdsjRyp6pvbfPhkZ,spotify:track:5loRWuSdsjRyp6pvbfPhkZ,,FALSE
Supercalifragilisticexpialidocious,Mary Poppins,"Richard M. Sherman, Robert B. Sherman",Film,"Animation, Disney",1964,Facile,USA,,https://open.spotify.com/intl-fr/track/55to4XJILTxRhyxPaW0LoM,spotify:track:55to4XJILTxRhyxPaW0LoM,,FALSE
Main Title,Matrix,Gustav Holst,Film,"Science-Fiction, Action",1999,Facile,USA,The Matrix,https://open.spotify.com/intl-fr/track/1FwhTB4R0lOWII5tc6cl9P,spotify:track:1FwhTB4R0lOWII5tc6cl9P,,FALSE
My Pledge,Megalopolis,Osvaldo Golijov,Film,"Science-Fiction, Drame",2024,Difficile,USA,,https://open.spotify.com/intl-fr/track/5Sx9WwPEtBdkEufpIv6zjM,spotify:track:5Sx9WwPEtBdkEufpIv6zjM,,FALSE
Men in Black,Men In Black,Danny Elfman,Film,"Science-Fiction, Comédie, Action",1997,Moyen,USA,,https://open.spotify.com/intl-fr/track/3Dq2FHZ73hBUG815MoapQu,spotify:track:3Dq2FHZ73hBUG815MoapQu,,FALSE
Gassed,Midsommar,Bobby Krlic (The Haxan Cloak),Film,"Thriller, Horreur",2019,Difficile,USA,,https://open.spotify.com/intl-fr/track/6JAFr2i1IWnkLHPCAMFx1C,spotify:track:6JAFr2i1IWnkLHPCAMFx1C,,FALSE
Steve's Lava Chicken,Minecraft,"Jack Black, C418",Film,Comédie,2025,Facile,USA,,https://open.spotify.com/intl-fr/track/2n5sAzeWh5LqnV9cGBjgGr,spotify:track:2n5sAzeWh5LqnV9cGBjgGr,,FALSE
Mission Impossible Theme,Mission Impossible,Lalo Schifrin,Film,Action,1996,Facile,USA,,https://open.spotify.com/intl-fr/track/1FL7eUG80aeUeyMO2N4btN,spotify:track:1FL7eUG80aeUeyMO2N4btN,,FALSE
Despicable Me,"Moi, Moche et Méchant","Pharrell Williams, Heitor Pereira",Film,"Comédie, Animation",2010,Moyen,USA,,https://open.spotify.com/intl-fr/track/1Uk3UZEQzyn1Z2Kb7QkuWR,spotify:track:1Uk3UZEQzyn1Z2Kb7QkuWR,,FALSE
The Path of the Wind,Mon Voisin Totoro,Joe Hisaishi,Film,"Animation, Fantasy",1988,Moyen,USA,,https://open.spotify.com/intl-fr/track/3XxnYdibSlBhiq2wGlQ6ie,spotify:track:3XxnYdibSlBhiq2wGlQ6ie,,FALSE
Monsters Inc,Monstre et Compagnie,Randy Newman,Film,"Disney, Animation",2001,Moyen,USA,Monsters Inc,https://open.spotify.com/intl-fr/track/5e0O7MjhNHq9G67qDFM8nR,spotify:track:5e0O7MjhNHq9G67qDFM8nR,,FALSE
Moi qui rêvais d'avoir un frère,Mufasa,Dave Metzger,Film,"Animation, Musical, Disney, Drame",2024,Facile,USA,,https://open.spotify.com/intl-fr/track/3g99OgqoMVQ5ycWuMQR7bj,spotify:track:3g99OgqoMVQ5ycWuMQR7bj,,FALSE
Comme un homme,Mulan,Jerry Goldsmith,Film,"Musical, Animation",1998,Facile,USA,,https://open.spotify.com/intl-fr/track/5g9E2PkKFSVJAApILSrevP,spotify:track:5g9E2PkKFSVJAApILSrevP,,FALSE
The Battle,Narnia,Harry Gregson-Williams,Film,"Fantasy, Action",2005,Facile,USA,,https://open.spotify.com/intl-fr/track/1ze3GTOVgAG5xLVrvcEoUS,spotify:track:1ze3GTOVgAG5xLVrvcEoUS,,FALSE
Daybreak,Nosferatu,Robin Carolan,Film,Horreur,2024,Difficile,USA,,https://open.spotify.com/intl-fr/track/1LuBNYAiwrzYBbKNtUIZSU,spotify:track:1LuBNYAiwrzYBbKNtUIZSU,,FALSE
Oblivion,Oblivion,"M83, Joseph Trapanese",Film,"Science-Fiction, Action, Drame",2013,Difficile,USA,,https://open.spotify.com/intl-fr/track/79npfYK6N5RnBc1jiaoHCr,spotify:track:79npfYK6N5RnBc1jiaoHCr,,FALSE
$160 Million Dollar Heist,Ocean's Eleven,David Holmes,Film,"Comédie, Action, Thriller",2001,Difficile,USA,,https://open.spotify.com/playlist/4JYuxS56wnxHsO6gU7SjaA,spotify:track:4JYuxS56wnxHsO6gU7SjaA,,FALSE
Can You Hear the Music,Oppenheimer,Ludwig Goransson,Film,"Drame, Histoire",2023,Facile,USA,,https://open.spotify.com/intl-fr/track/4VnDmjYCZkyeqeb0NIKqdA,spotify:track:4VnDmjYCZkyeqeb0NIKqdA,,FALSE
OSS 117 Thème,OSS117,Ludovic Bource,Film,Comédie,2006,Moyen,France,,https://open.spotify.com/intl-fr/track/1yppc9GsVy5DDOm67IWyw7,spotify:track:1yppc9GsVy5DDOm67IWyw7,,FALSE
Main Titles,Ouija,Anton Sanko,Film,"Horreur, Thriller",2014,Difficile,USA,,https://open.spotify.com/intl-fr/track/45aZJAkyZuJZ5yZVe3Xy8m,spotify:track:45aZJAkyZuJZ5yZVe3Xy8m,,FALSE
Pacific Rim,Pacific Rim,Ramin Djawadi,Film,"Science-Fiction, Action",2013,Moyen,USA,,https://open.spotify.com/intl-fr/track/0lEHnMNNYusZtbon9XyA2W,spotify:track:0lEHnMNNYusZtbon9XyA2W,,FALSE
The Belt of Faith,Parasite,Jung Jae-il,Film,"Thriller, Drame",2019,Difficile,USA,,https://open.spotify.com/intl-fr/track/11KMQy878e4KUhb83110fa,spotify:track:11KMQy878e4KUhb83110fa,,FALSE
Passengers,Passengers,Thomas Newman,Film,"Science-Fiction, Romance",2016,Difficile,USA,,https://open.spotify.com/intl-fr/track/0W0rNPWbtsSLe48UZUwqf4,spotify:track:0W0rNPWbtsSLe48UZUwqf4,,FALSE
Bella,Pauvres Creatures,Jerskin Fendrix,Film,"Drame, Romance, Science-Fiction",2023,Difficile,UK,Poor Things,https://open.spotify.com/intl-fr/track/7dLWK0Gaa5zPswYx1TDWZl,spotify:track:7dLWK0Gaa5zPswYx1TDWZl,,FALSE
Tennessee,Pearl Harbor,Hans Zimmer,Film,"Drame, Romance, Histoire",2001,Moyen,USA,,https://open.spotify.com/intl-fr/track/2O0UWIMFeMtFR0LJMuIPjJ,spotify:track:2O0UWIMFeMtFR0LJMuIPjJ,,FALSE
Tu t'envoles,Peter Pan,"Sammy Fain, Sammy Cahn",Film,"Animation, Disney",1953,Facile,USA,,https://open.spotify.com/intl-fr/track/1HShYPBmHHMgSsce3w1GN1,spotify:track:1HShYPBmHHMgSsce3w1GN1,,FALSE
Flying,Peter Pan,James Newtown Howard,Film,Fantasy,2003,Moyen,USA,,https://open.spotify.com/intl-fr/track/2DS7nXQfAFmLzTicXi3riM,spotify:track:2DS7nXQfAFmLzTicXi3riM,,FALSE
Die Hard Theme,Piège de Cristal,Michael Kamen,Film,"Action, Thriller",1988,Difficile,USA,Die Hard,https://open.spotify.com/intl-fr/track/6uqHucJPTD6JCJ5afOBpt6,spotify:track:6uqHucJPTD6JCJ5afOBpt6,,FALSE
Quand on prie la bonne étoile,Pinocchio,Leigh Harline,Film,"Animation, Disney",1940,Facile,USA,,https://open.spotify.com/intl-fr/track/68yEkB07iP5ZYlo7CuT0ae,spotify:track:68yEkB07iP5ZYlo7CuT0ae,,FALSE
He's a Pirate,Pirate des Caraïbes,Klaus Badelt,Film,"Disney, Action",2003,Facile,USA,,https://open.spotify.com/intl-fr/track/4AD2dterIUjNt1LFNI9Bvi,spotify:track:4AD2dterIUjNt1LFNI9Bvi,,FALSE
Cups (When I'm Gone),Pitch Perfect,Christophe Beck,Film,"Comédie, Musical, Romance",2012,Moyen,USA,,https://open.spotify.com/intl-fr/track/2sCl0FFOzZSmYZs90zOpd1,spotify:track:2sCl0FFOzZSmYZs90zOpd1,,FALSE
L'air du vent,Pocahontas,Alan Menken,Film,"Animation, Disney",1995,Facile,USA,,https://open.spotify.com/intl-fr/track/2AavhCet5Hf98v7qRcCYdH,spotify:track:2AavhCet5Hf98v7qRcCYdH,,FALSE
"Oh, Pretty Woman",Pretty Woman,James Newton Howard,Film,"Comédie, Romance",1990,Facile,USA,,https://open.spotify.com/intl-fr/track/48i055G1OT5KxGGftwFxWy,spotify:track:48i055G1OT5KxGGftwFxWy,,FALSE
Predator Instinct,Prey,Sarah Schachner,Film,"Science-Fiction, Horreur, Action",2022,Difficile,USA,,https://open.spotify.com/intl-fr/track/4col09cuYJRoOV0usDKOhP,spotify:track:4col09cuYJRoOV0usDKOhP,,FALSE
Princess Mononoke Theme Song,Princesse Mononoke,Joe Hisaishi,Film,"Animation, Fantasy, Drame",1997,Difficile,Asie,,https://open.spotify.com/intl-fr/track/0KeqW4my39At2Ke1mVFYBF,spotify:track:0KeqW4my39At2Ke1mVFYBF,,FALSE
Prisoners,Prisoners,Jóhann Jóhannsson,Film,"Thriller, Drame",2013,Difficile,USA,,https://open.spotify.com/intl-fr/track/2y7G7IRQXoM6EQZfFoROuw,spotify:track:2y7G7IRQXoM6EQZfFoROuw,,FALSE
Heads Will Roll,Projet X,"A-Trak, Yeah Yeah Yeahs",Film,"Comédie, Drame",2012,Moyen,USA,,https://open.spotify.com/intl-fr/track/2WRFD9WczJ975X2K1Y9YVs,spotify:track:2WRFD9WczJ975X2K1Y9YVs,,FALSE
The Murder,Psychose,Bernard Herrmann,Film,"Thriller, Horreur",1960,Facile,USA,,https://open.spotify.com/intl-fr/track/0LIc6Ktjr7XnwnRylXWSIM,spotify:track:0LIc6Ktjr7XnwnRylXWSIM,,FALSE
Misirlou,Pulp Fiction,Dick Dale,Film,Action,1994,Facile,USA,,https://open.spotify.com/intl-fr/track/7fC9Hp9RFSDNpgRnSY2Ahj,spotify:track:7fC9Hp9RFSDNpgRnSY2Ahj,,FALSE
Rabbi Jacob,Rabbi Jacob,Vladimir Cosma,Film,Comédie,1973,Moyen,France,,https://open.spotify.com/intl-fr/track/3VD8RLSBps2pH9vOyr11qr,spotify:track:3VD8RLSBps2pH9vOyr11qr,,FALSE
I See the Light,Raiponce,Alan Menken,Film,"Animation, Musical, Disney",2010,Facile,USA,Rapunzel,https://open.spotify.com/intl-fr/track/1r6jjBkaAjGp09h2R6heZp,spotify:track:1r6jjBkaAjGp09h2R6heZp,,FALSE
Rambo Theme,Rambo,Jerry Goldsmith,Film,"Action, Drame",1982,Difficile,USA,,https://open.spotify.com/intl-fr/track/2dCHp0ALglVaf01YMXpHeP,spotify:track:2dCHp0ALglVaf01YMXpHeP,,FALSE
Rango Suite,Rango,"Hans Zimmer, Los Lobos",Film,"Animation, Comédie, Western",2011,Moyen,USA,,https://open.spotify.com/intl-fr/track/4yfAo0IauEnKHm5NJEWuYM,spotify:track:4yfAo0IauEnKHm5NJEWuYM,,FALSE
Main Theme,Ratatouille,Michael Giacchino,Film,"Disney, Animation",2007,Facile,USA,,https://open.spotify.com/intl-fr/track/0AGAl2fZLAoGxGd5dO77Cp,spotify:track:0AGAl2fZLAoGxGd5dO77Cp,,FALSE
Overture,Ready or Not,Brian Tyler,Film,"Thriller, Horreur",2019,Difficile,USA,,https://open.spotify.com/intl-fr/track/0oSK34Y7DyFzSzVJxA3tTc,spotify:track:0oSK34Y7DyFzSzVJxA3tTc,,FALSE
Main Title,Ready Player One,Alan Silvestri,Film,Science-Fiction,2018,Difficile,USA,,https://open.spotify.com/intl-fr/track/2l58xc6nnmDSuEgysf6eTo,spotify:track:2l58xc6nnmDSuEgysf6eTo,,FALSE
Vers le Ciel,Rebelle,Patrick Doyle,Film,"Animation, Comédie, Disney",2012,Moyen,USA,,https://open.spotify.com/intl-fr/track/2SzrmRJFX3o3aufqAdsAU5,spotify:track:2SzrmRJFX3o3aufqAdsAU5,,FALSE
Lux Aeterna,Requiem For A Dream,"Clint Mansell, Kronos Quartet",Film,"Thriller, Drame",2000,Facile,USA,,https://open.spotify.com/intl-fr/track/62Da3JOu9H9EIgmqV7DoLG,spotify:track:62Da3JOu9H9EIgmqV7DoLG,,FALSE
Retour vers le futur,Retour vers le futur,Alan Silverstri,Film,Science-Fiction,1985,Facile,USA,,https://open.spotify.com/intl-fr/track/1FI5hblwy9ZwyPg4Jr5hni,spotify:track:1FI5hblwy9ZwyPg4Jr5hni,,FALSE
Rocket Man,Rocketman,Elton John,Film,"Histoire, Drame, Musical",2019,Facile,UK,,https://open.spotify.com/intl-fr/track/1GFhaSp0LQHDu1IUX5tM9s,spotify:track:1GFhaSp0LQHDu1IUX5tM9s,,FALSE
Gonna Fly Now,Rocky ,Bill Conti,Film,Action,1985,Facile,USA,,https://open.spotify.com/intl-fr/track/7iXYRR70wewzVYzWScm99j,spotify:track:7iXYRR70wewzVYzWScm99j,,FALSE
Rogue One,Rogue One,Michael Giacchino,Film,"Science-Fiction, Action",2016,Difficile,USA,,https://open.spotify.com/intl-fr/track/0O5xBn8C6Reu3ihKbSBgB7,spotify:track:0O5xBn8C6Reu3ihKbSBgB7,,FALSE
Romeo + Juliet,Romeo + Juliet,Craig Armstrong,Film,"Drame, Romance",1996,Difficile,USA,,https://open.spotify.com/intl-fr/track/5FOHBhUtWl2x5Z6qflA8nd,spotify:track:5FOHBhUtWl2x5Z6qflA8nd,,FALSE
The Final Zepp,Saw,Charlie Clouser,Film,Horreur,2004,Facile,USA,,https://open.spotify.com/intl-fr/track/2sPUOqaVgShpJLl52GOuvZ,spotify:track:2sPUOqaVgShpJLl52GOuvZ,,FALSE
Push It To The Limit,Scarface,Giorgio Moroder,Film,Action,1983,Difficile,USA,,https://open.spotify.com/intl-fr/track/0H6rpW1xnJ8qRQwSrIADPE,spotify:track:0H6rpW1xnJ8qRQwSrIADPE,,FALSE
Bye Bye Carmen,Scary Movie,David Kitay,Film,"Comédie, Horreur",2000,Difficile,USA,,https://open.spotify.com/intl-fr/track/2hy1wZklrLrScLzh0CGqXO,spotify:track:2hy1wZklrLrScLzh0CGqXO,,FALSE
Trouble In Woordsboro,Scream,Marco Beltrami,Film,Horreur,1996,Difficile,USA,,https://open.spotify.com/intl-fr/track/6pb1tr6FC1AKy3WGgOMn8V,spotify:track:6pb1tr6FC1AKy3WGgOMn8V,,FALSE
The Martian Score Suite,Seul sur Mars,Harry Gregson-Williams,Film,"Science-Fiction, Drame",2015,Difficile,USA,,https://open.spotify.com/intl-fr/track/5m9lR8L1AIsMkCdrZUiJxJ,spotify:track:5m9lR8L1AIsMkCdrZUiJxJ,,FALSE
The Last Seven Days,Seven,Howard Shore,Film,"Thriller, Drame",1995,Difficile,USA,Se7en,https://open.spotify.com/intl-fr/track/30GM2arArTHOxk9hFwd2M7,spotify:track:30GM2arArTHOxk9hFwd2M7,,FALSE
Closing Time,Sexe entre amis,Walter Murphy,Film,"Comédie, Romance",2011,Difficile,USA,Friends With Benefits,https://open.spotify.com/intl-fr/track/1A5V1sxyCLpKJezp75tUXn,spotify:track:1A5V1sxyCLpKJezp75tUXn,,FALSE
Xu Shang-Chi,Shang-Chi,Joel P. West,Film,"Super-héro, Action, Marvel",2021,Moyen,USA,,https://open.spotify.com/intl-fr/track/0U1X5zc0wvbT6C3YQEpK0q,spotify:track:0U1X5zc0wvbT6C3YQEpK0q,,FALSE
Discombobulate,Sherlock Holmes,Hans Zimmer,Film,"Action, Thriller",2009,Facile,UK,,https://open.spotify.com/intl-fr/track/0cm6cAtRu0C0sEZzDjZFsx,spotify:track:0cm6cAtRu0C0sEZzDjZFsx,,FALSE
Main Title,Shining,"Wendy Carlos, Rachel Elkind",Film,"Horreur, Thriller, Drame",1980,Facile,USA,The Shining,https://open.spotify.com/intl-fr/track/4WnuHIJTLrFkAQdpryLDe7,spotify:track:4WnuHIJTLrFkAQdpryLDe7,,FALSE
All Star,Shrek,Harry Gregson-Williams,Film,"Comédie, Animation",2001,Facile,USA,,https://open.spotify.com/intl-fr/track/2P1ZqQq8rQtmV7BLZ0Junn,spotify:track:2P1ZqQq8rQtmV7BLZ0Junn,,FALSE
